,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.s1a,1,1.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s2b,1,2.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s4c,1,4.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s5c,1,5.3,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s6c,1,6.3,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s7a,1,7.1,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s9a,1,9.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s10a,1,10.1,2.4,20,0.894427190999916,5,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s11a,1,11.1,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s12b,1,12.2,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s16c,1,16.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s17c,1,17.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s19a,1,19.1,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s20a,1,20.1,2.4,40,0.894427190999916,5,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s22b,1,22.2,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s24c,1,24.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s28a,1,28.1,2.4,40,0.894427190999916,5,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s29a,1,29.1,2.4,40,0.894427190999916,2,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s30c,1,30.3,2.4,40,0.894427190999916,1,,,,,wye,20,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,44.7213595499958,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
Load.s31c,1,31.3,2.4,20,0.894427190999916,1,,,,,wye,10,-1,0,Variable,1,0.95,1.05,0,0,0,0.5,22.3606797749979,50,10,1,2,0,30,4,,1,['0 0 0 0 0 0 0'],50,1,0.5,0,6,defaultload,60,Yes,
