Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 4.16, 1,    2521.67,    0.0,    1.0499, 2,    2521.57, -120.0,    1.0499, 3,     2521.6,  120.0,    1.0499
"DEV_50011134", 4.16, 1,    2452.53,   -0.9,    1.0211, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50011135", 4.16, 1,    2452.53,   -0.9,    1.0211, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50015856", 4.16, 1,    2495.59,   -0.2,    1.0391, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50015857", 4.16, 1,    2495.59,   -0.2,    1.0391, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50026561", 4.16, 1,    2454.01,   -0.9,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50026562", 4.16, 1,    2454.01,   -0.9,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50026579", 4.16, 3,    2344.71,  116.9,   0.97624, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50026580", 4.16, 3,    2344.71,  116.9,   0.97624, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50172", 4.16, 2,     2310.1, -121.8,   0.96183, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50171", 4.16, 2,     2310.1, -121.8,   0.96183, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50166", 4.16, 2,    2309.52, -121.8,   0.96159, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50165", 4.16, 2,    2309.52, -121.8,   0.96159, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50210", 4.16, 1,    2442.86,   -1.2,    1.0171, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50213", 4.16, 1,    2442.86,   -1.2,    1.0171, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50262", 4.16, 3,    2342.42,  116.8,   0.97529, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50261", 4.16, 3,    2342.42,  116.8,   0.97529, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50265", 4.16, 3,    2342.42,  116.8,   0.97529, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50264", 4.16, 3,    2342.42,  116.8,   0.97529, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51048014", 4.16, 2,    2444.97, -120.7,     1.018, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51048015", 4.16, 2,    2444.97, -120.7,     1.018, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51066670", 4.16, 2,    2418.31, -120.8,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51066671", 4.16, 2,    2418.31, -120.8,    1.0069, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51066702", 4.16, 1,    2442.59,   -1.2,     1.017, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51066703", 4.16, 1,    2442.59,   -1.2,     1.017, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51071430", 4.16, 2,    2365.32, -121.2,   0.98482, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51071431", 4.16, 2,    2365.32, -121.2,   0.98482, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51091906", 4.16, 2,    2415.48, -120.9,    1.0057, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51091907", 4.16, 2,    2415.48, -120.9,    1.0057, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51121406", 4.16, 1,    2444.28,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51121407", 4.16, 1,    2444.28,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63398", 4.16, 3,    2357.47,  117.0,   0.98155, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63399", 4.16, 3,    2357.47,  117.0,   0.98155, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63403", 4.16, 3,     2357.8,  117.0,   0.98169, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63402", 4.16, 3,     2357.8,  117.0,   0.98169, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63673", 4.16, 2,    2336.81, -121.5,   0.97295, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63545", 4.16, 2,    2336.81, -121.5,   0.97295, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63826", 4.16, 3,     2358.5,  117.1,   0.98198, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63827", 4.16, 3,     2358.5,  117.1,   0.98198, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64039", 4.16, 1,    2444.36,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63854", 4.16, 1,    2444.36,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64297", 4.16, 3,    2336.21,  116.6,    0.9727, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64050", 4.16, 3,    2336.21,  116.6,    0.9727, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64299", 4.16, 3,    2335.48,  116.6,    0.9724, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64054", 4.16, 3,    2335.48,  116.6,    0.9724, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64060", 4.16, 3,    2335.53,  116.6,   0.97242, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64058", 4.16, 3,    2335.53,  116.6,   0.97242, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64158", 4.16, 1,    2444.36,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64185", 4.16, 1,    2444.36,   -1.3,    1.0177, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50016592", 4.16, 1,    2443.99,   -1.3,    1.0176, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_50016591", 4.16, 1,    2443.99,   -1.3,    1.0176, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64244", 4.16, 1,    2439.57,   -1.3,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64248", 4.16, 1,    2439.57,   -1.3,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64252", 4.16, 1,    2439.64,   -1.3,    1.0158, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_63855", 4.16, 1,    2439.64,   -1.3,    1.0158, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64224", 4.16, 1,    2442.55,   -1.3,     1.017, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64226", 4.16, 1,    2442.55,   -1.3,     1.017, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64281", 4.16, 1,    2442.34,   -1.3,    1.0169, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64277", 4.16, 1,    2442.34,   -1.3,    1.0169, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64144", 4.16, 1,    2443.49,   -1.3,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64186", 4.16, 1,    2443.49,   -1.3,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64472", 4.16, 3,    2406.85,  117.8,    1.0021, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64473", 4.16, 3,    2406.85,  117.8,    1.0021, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64480", 4.16, 3,    2407.48,  117.8,    1.0024, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64479", 4.16, 3,    2407.48,  117.8,    1.0024, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64577", 4.16, 3,    2394.11,  117.5,   0.99681, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64576", 4.16, 3,    2394.11,  117.5,   0.99681, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64598", 4.16, 1,       2487,   -0.6,    1.0355, 2,    2394.77, -120.9,   0.99708, 3,    2404.22,  117.7,     1.001
"DEV_64601", 4.16, 1,       2487,   -0.6,    1.0355, 2,    2394.76, -120.9,   0.99708, 3,    2404.23,  117.7,     1.001
"DEV_64623", 4.16, 2,    2365.92, -121.2,   0.98507, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64622", 4.16, 2,    2365.92, -121.2,   0.98507, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64823", 4.16, 1,    2486.95,   -0.3,    1.0355, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64822", 4.16, 1,    2486.95,   -0.3,    1.0355, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51266982", 4.16, 2,    2424.04, -120.8,    1.0093, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51266979", 4.16, 2,    2424.04, -120.8,    1.0093, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64854", 4.16, 2,    2411.34, -121.0,     1.004, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64853", 4.16, 2,    2411.34, -121.0,     1.004, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64884", 4.16, 1,    2482.31,   -0.3,    1.0335, 2,    2427.81, -120.9,    1.0108, 3,    2446.79,  118.5,    1.0187
"PRI_64883", 4.16, 1,    2482.31,   -0.3,    1.0335, 2,    2427.81, -120.9,    1.0108, 3,    2446.79,  118.5,    1.0187
"DEV_65232", 4.16, 1,    2482.28,   -0.4,    1.0335, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65082", 4.16, 1,    2482.28,   -0.4,    1.0335, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65128", 4.16, 1,    2479.98,   -0.5,    1.0326, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65129", 4.16, 1,    2479.98,   -0.5,    1.0326, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64817", 4.16, 1,    2479.99,   -0.5,    1.0326, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64816", 4.16, 1,    2479.99,   -0.5,    1.0326, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65052", 4.16, 2,    2400.93, -121.0,   0.99965, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64814", 4.16, 2,    2400.93, -121.0,   0.99965, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64818", 4.16, 1,    2479.72,   -0.4,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_64819", 4.16, 1,    2479.72,   -0.4,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51227346", 4.16, 2,    2416.75, -120.9,    1.0062, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_51227341", 4.16, 2,    2416.75, -120.9,    1.0062, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65079", 4.16, 1,    2482.54,   -0.4,    1.0336, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65256", 4.16, 1,    2482.54,   -0.4,    1.0336, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65240", 4.16, 1,    2482.88,   -0.4,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65047", 4.16, 1,    2482.88,   -0.4,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65252", 4.16, 2,    2413.93, -121.0,    1.0051, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65251", 4.16, 2,    2413.93, -121.0,    1.0051, 0, 0, 0, 0, 0, 0, 0, 0
"DEV_65229", 4.16, 3,    2492.92,  119.4,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
