,AllocationFactor,CVRCurve,CVRvars,CVRwatts,CFactor,Class,Growth,IsDelta,Model,Name,NumCust,PF,PctMean,PctStdDev,RelWeighting,Rneut,Spectrum,Status,Vmaxpu,VminEmerg,VminNorm,Vminpu,Xneut,Yearly,ZipV,Daily,Duty,Idx,kV,kW,kVABase,kvar,kWh,kWhDays,puSeriesRL,XfkVA
671,0.5,,2.0,1.0,4.0,1,,True,1,671,1,0.8682431421244591,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,1,4.16,1155.0,1330.2725284692608,660.0,0.0,30.0,50.0,0.0
634a,0.5,,2.0,1.0,4.0,1,,False,1,634a,1,0.8240419241993675,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,2,0.277,160.0,194.164878389476,110.0,0.0,30.0,50.0,0.0
634b,0.5,,2.0,1.0,4.0,1,,False,1,634b,1,0.8,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,3,0.277,120.0,150.0,90.0,0.0,30.0,50.0,0.0
634c,0.5,,2.0,1.0,4.0,1,,False,1,634c,1,0.8,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,4,0.277,120.0,150.0,90.0,0.0,30.0,50.0,0.0
645,0.5,,2.0,1.0,4.0,1,,False,1,645,1,0.8056510126494245,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,5,2.4,170.0,211.00947846009194,125.0,0.0,30.0,50.0,0.0
646,0.5,,2.0,1.0,4.0,1,,True,2,646,1,0.8673133941933718,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,6,4.16,230.0,265.18672666632466,132.0,0.0,30.0,50.0,0.0
692,0.5,,2.0,1.0,4.0,1,,True,5,692,1,0.7476519144858309,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,7,4.16,170.0,227.37853900489378,151.0,0.0,30.0,50.0,0.0
675a,0.5,,2.0,1.0,4.0,1,,False,1,675a,1,0.9311010850748034,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,8,2.4,485.0,520.8886637276722,190.0,0.0,30.0,50.0,0.0
675b,0.5,,2.0,1.0,4.0,1,,False,1,675b,1,0.7498378553650925,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,9,2.4,68.0,90.68627239003708,60.0,0.0,30.0,50.0,0.0
675c,0.5,,2.0,1.0,4.0,1,,False,1,675c,1,0.8072891017918288,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,10,2.4,290.0,359.22694776422327,212.0,0.0,30.0,50.0,0.0
611,0.5,,2.0,1.0,4.0,1,,False,5,611,1,0.9048187022009941,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,11,2.4,170.0,187.88294228055935,80.0,0.0,30.0,50.0,0.0
652,0.5,,2.0,1.0,4.0,1,,False,2,652,1,0.8300495997825932,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,12,2.4,128.0,154.20765220960988,86.0,0.0,30.0,50.0,0.0
670a,0.5,,2.0,1.0,4.0,1,,False,1,670a,1,0.8619342151577695,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,13,2.4,17.0,19.72308292331602,10.0,0.0,30.0,50.0,0.0
670b,0.5,,2.0,1.0,4.0,1,,False,1,670b,1,0.8666224568741688,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,14,2.4,66.0,76.15773105863909,38.0,0.0,30.0,50.0,0.0
670c,0.5,,2.0,1.0,4.0,1,,False,1,670c,1,0.8645818496218686,50.0,10.0,1.0,-1.0,defaultload,0,1.05,0.0,0.0,0.95,0.0,LoadShape1,[],,,15,2.4,117.0,135.32553343696821,68.0,0.0,30.0,50.0,0.0
