Timestamp,Load.611__C1 [kVA],Load.611__N1 [kVA],Load.634a__A1 [kVA],Load.634a__N1 [kVA],Load.634b__B1 [kVA],Load.634b__N1 [kVA],Load.634c__C1 [kVA],Load.634c__N1 [kVA],Load.645__B1 [kVA],Load.645__N1 [kVA],Load.646__B1 [kVA],Load.646__C1 [kVA],Load.652__A1 [kVA],Load.652__N1 [kVA],Load.670a__A1 [kVA],Load.670a__N1 [kVA],Load.670b__B1 [kVA],Load.670b__N1 [kVA],Load.670c__C1 [kVA],Load.670c__N1 [kVA],Load.671__A1 [kVA],Load.671__B1 [kVA],Load.671__C1 [kVA],Load.675a__A1 [kVA],Load.675a__N1 [kVA],Load.675b__B1 [kVA],Load.675b__N1 [kVA],Load.675c__C1 [kVA],Load.675c__N1 [kVA],Load.692__C1 [kVA],Load.692__A1 [kVA]
2020-01-01 07:00:00,(107.94894938955112+50.801146250684354j),0j,(100.28165067715861+68.9449896724532j),0j,(75.2112013054442+56.40843661857741j),0j,(75.21187455780749+56.40982705154758j),0j,(106.54911302689091+78.34486876369567j),0j,(101.4698069618759-0.1562558514592529j),(51.15916846851996+87.75333128450919j),(82.41470698865848+55.37413704349973j),0j,(10.654906317029953+6.267733023930877j),0j,(41.36610248711148+23.816801837797925j),0j,(73.33164639409225+42.6209297749814j),0j,(241.34015603333208+133.73694251214877j),(243.4475696780299+144.29770712881069j),(239.12272253316922+135.63647291725763j),(303.9792289015491+119.08998776293046j),0j,(42.619580629049146+37.60543100422082j),0j,(181.76292915324433+132.87823560493982j),0j,(81.6450600421824+17.109415957633566j),(26.89346002792408+79.30011607867375j)
2020-01-01 07:15:00,(106.4915595768574+50.112520262030124j),0j,(100.28170085970788+68.94255700421863j),0j,(75.2112530269635+56.40891649838568j),0j,(75.21048628806328+56.40719443460328j),0j,(106.54922058463295+78.34559249349938j),0j,(100.86548603916944+0.23759498190730666j),(49.88887656935919+86.28145821016652j),(80.30368138560051+53.952721713206515j),0j,(10.654943848216178+6.267498874414366j),0j,(41.366185249904404+23.8171289735804j),0j,(73.33021375613599+42.618684823929534j),0j,(240.38607844637465+132.96138490610724j),(245.55153475708673+145.70991669733263j),(237.96801895303946+134.9846225820602j),(303.97873325139227+119.08035302659096j),0j,(42.619671983181405+37.60599640239995j),0j,(181.75810943049896+132.86913136170725j),0j,(80.54158708525354+16.902278446181857j),(26.595526437895263+78.25956903450655j)
2020-01-01 07:30:00,(106.49090689425002+50.113350703928454j),0j,(100.28153318039818+68.94354892669526j),0j,(75.21114522443094+56.40836461628665j),0j,(75.21114080160979+56.408345699516104j),0j,(106.54912208820681+78.34494980959963j),0j,(100.86542018784235+0.23810831084578968j),(49.888429919119154+86.2814836343089j),(80.30288618890563+53.953495288101585j),0j,(10.654912965316557+6.267595283321668j),0j,(41.36612975456288+23.81686550908145j),0j,(73.33086219441788+42.61963751311143j),0j,(240.38682153310344+132.96312900509935j),(245.55209310190753+145.71212571850884j),(237.96835444206638+134.98600667486974j),(303.9784015286882+119.08430185644477j),0j,(42.6196476968848+37.60557686986442j),0j,(181.76025316133402+132.87297706536765j),0j,(80.54134584224393+16.90265366818922j),(26.595108284785365+78.25972023933404j)
2020-01-01 07:45:00,(92.86243733725483+43.69655935797015j),0j,(87.06834045184058+59.85573149055609j),0j,(65.30169958276366+48.97590250892382j),0j,(65.29989698288286+48.972923641261474j),0j,(92.51096901503354+68.02258183042254j),0j,(87.01657200842462+0.10900507003659732j),(43.28763705871257+74.67118978805856j),(69.94492987579463+46.989581011365644j),0j,(9.25106586870634+5.441419645529286j),0j,(35.91609061027282+20.678927853776056j),0j,(63.66726792705427+37.00145122348996j),0j,(208.68152242449517+116.10387772289968j),(212.36657302576904+125.41642604259783j),(207.47298473537185+117.61400551816715j),(263.9242925130034+103.3785547144203j),0j,(37.00463581802466+32.651070431826355j),0j,(157.8058699243748+115.3547418741123j),0j,(70.2027218004897+14.68711732434905j),(22.964412649536907+68.0624935690253j)
2020-01-01 08:00:00,(92.86054737047704+43.6990454883052j),0j,(87.06899070036401+59.85990841457776j),0j,(65.30173837762676+48.97631395535605j),0j,(65.30172357872047+48.97627226555901j),0j,(92.51079568056812+68.02265699037837j),0j,(87.01558471383385+0.11075004989279114j),(43.285652486532435+74.67080663798494j),(69.94065051108129+46.991346817705995j),0j,(9.251080549479877+5.441809683169681j),0j,(35.915956254609256+20.678889360877875j),0j,(63.66917989159378+37.00429145354752j),0j,(208.68461358770818+116.11182553889658j),(212.36949935853374+125.4260260442764j),(207.47507767519426+117.62157003287989j),(263.92787790279573+103.39433964687572j),0j,(37.004317293302364+32.650877961206774j),0j,(157.8124850967642+115.36629624365892j),0j,(70.20189278847973+14.688941817184055j),(22.9625771075341+68.0630030048149j)
2020-01-01 08:15:00,(92.86052907529508+43.69907214165922j),0j,(87.06898511780703+59.85992720503015j),0j,(65.30173872637592+48.9763041451709j),0j,(65.30173866961671+48.97630379375449j),0j,(92.51079652803404+68.02264463495376j),0j,(87.01558112541103+0.11076350672997069j),(43.28563997835179+74.67080668786984j),(69.94063667002604+46.99136517726775j),0j,(9.251079669692054+5.441811562650556j),0j,(35.915956298210574+20.678883983122905j),0j,(63.669195200085724+37.00431838923435j),0j,(208.68463313158884+116.11187323532896j),(212.36951362236687+125.42608167009554j),(207.47508857348717+117.62160746729735j),(263.9278612405147+103.39441958898757j),0j,(37.00431858568765+32.65086944161295j),0j,(157.81253505619273+115.36640418442533j),0j,(70.20188748991274+14.688950102602249j),(22.96256738346384+68.06300677861633j)
2020-01-01 08:30:00,(86.31278657242105+40.620104012694256j),0j,(80.49033230655773+55.339264644951754j),0j,(60.36785208352629+45.27535013912199j),0j,(60.36902441797774+45.27809511970387j),0j,(85.52112365674938+62.88245106874986j),0j,(80.68326938470847+0.057375344150219464j),(40.2517892058944+69.35053506123752j),(65.17005557022952+43.78878827629916j),0j,(8.5520729676568+5.03085549401626j),0j,(33.20228416210661+19.11615656286651j),0j,(58.859865039125744+34.210328587948936j),0j,(192.89696175609328+107.66671133811526j),(195.92913363273215+115.4257879918851j),(192.2183142398486+108.94291562739791j),(243.98674707925105+95.59061789951525j),0j,(34.20843434182977+30.183368103548943j),0j,(145.8929236834381+106.65737999379748j),0j,(65.23774473568457+13.630230219686961j),(21.23061142009426+63.176465696517866j)
2020-01-01 08:45:00,(86.3139977828254+40.61837558392559j),0j,(80.49057018851319+55.337274327303994j),0j,(60.36793436333175+45.27594350646705j),0j,(60.36793891994856+45.27596769512668j),0j,(85.52124051715248+62.88325591836381j),0j,(80.68351990604022+0.05638624984669877j),(40.252721502009415+69.35051201153956j),(65.171784937266+43.787302164793736j),0j,(8.552122990168257+5.030661389325401j),0j,(33.20236396999553+19.11650878755167j),0j,(58.85874070140884+34.208511024618424j),0j,(192.89564378621085+107.66288558256181j),(195.92811403571014+115.42121474048568j),(192.2176081972883+108.93958782860122j),(243.98703510729155+95.5825787265074j),0j,(34.20849773540937+30.18396154272613j),0j,(145.8891901673981+106.65007709707447j),0j,(65.23817785260364+13.629336244019772j),(21.23155328002235+63.17614008453204j)
2020-01-01 09:00:00,(86.31400899477713+40.618357380435135j),0j,(80.49057643813141+55.337271281281765j),0j,(60.3679324099825+45.27594926238712j),0j,(60.367932398910945+45.275949416504794j),0j,(85.52123757754181+62.883262864832474j),0j,(80.6835215580539+0.05637927521116944j),(40.25272753445101+69.35051158953559j),(65.17178361512161+43.787292099532166j),0j,(8.552123746590825+5.030661026109443j),0j,(33.202362826022494+19.11651190480092j),0j,(58.858734090566315+34.208495134049876j),0j,(192.89563543311127+107.66286344298808j),(195.92810993490215+115.42119132993659j),(192.21760382423741+108.93957357919005j),(243.98705974079934+95.58255944372338j),0j,(34.208495049128466+30.183966169808723j),0j,(145.88916996948362+106.65001433814506j),0j,(65.2381799594564+13.62933397814828j),(21.23155685136123+63.176138140887j)
2020-01-01 09:15:00,(86.31400908614151+40.61835721850912j),0j,(80.49057649626724+55.33727134063501j),0j,(60.36793237288445+45.27594927947964j),0j,(60.36793237253856+45.27594928025376j),0j,(85.52123752819372+62.88326288809779j),0j,(80.68352157746033+0.05637922842913395j),(40.252727576520925+69.35051159087627j),(65.17178352217587+43.78729205338514j),0j,(8.552123752732612+5.030661030969888j),0j,(33.20236280508451+19.116511917954433j),0j,(58.85873406323875+34.208495011897426j),0j,(192.89563537816872+107.6628633107055j),(195.92810991848208+115.42119121660306j),(192.21760378937304+108.93957352285278j),(243.98706000353872+95.58255958732582j),0j,(34.20849501142304+30.183966186279196j),0j,(145.88916990019493+106.65001386123272j),0j,(65.23817996676327+13.629333987838155j),(21.231556856166332+63.176138131132326j)
